id,name,services,beds,island,phone,address,lat,lng
1,ADVENTIST HEALTH CASTLE,Licensed Beds & Psychiatric Beds,160,Oahu,Ph: (808) 263-5500,"640 Ulukahiki Street Kailua, Hawaii  96734","
21.38099706917427",-157.75637437928884
2,HALE HO’OLA HAMAKUA,Licensed Beds,11,Hawaii,Ph: (808) 932-4100,"45-547 Plumeria Street Honokaa, Hawaii 96727","
20.07711955624016",-155.47029546366062
3,HAWAII STATE HOSPITAL,Psychiatric Beds,202,Oahu,Ph: (808) 247-2191,"45-710 Keaahala Road Kaneohe, Hawaii  96744","
21.41394822832782",-157.8023926875281
4,HILO MEDICAL CENTER,Licensed Beds & Psychiatric Beds,166,Hawaii,Ph: (808) 932-3000,"1190 Waianuenue Avenue Hilo, Hawaii  96720",19.713564094649143,-155.12702656222444
5,KAHI MOHALA,Psychiatric Beds,88,Oahu,Ph: (808) 671-8511,"91-2301 Fort Weaver Road Ewa Beach, Hawaii  96706","
21.37500590048194",-158.0263684600304
6,KAHUKU MEDICAL CENTER,Licensed Beds,15,Oahu,Ph: (808) 293-9221,"56-117 Pualalea Street Kahuku, Hawaii 96731","
21.67554335941506",-157.95178684928874
7,KAISER FOUNDATION HOSPITAL,Licensed Beds,295,Oahu,Ph: (808) 432-0000,"3288 Moanalua Road Honolulu, Hawaii  96819",21.363361364179696,-157.90119670227716
8,KAPIOLANI MEDICAL CENTER for WOMEN and CHILDREN,Licensed Beds,253,Oahu,Ph: (808) 983-6000,"1319 Punahou Street Honolulu, Hawaii  96826",21.300880917875517,-157.83397887768308
9,KAU HOSPITAL,Licensed Beds,21,Hawaii,Ph: (808) 932-4200,"1 Kamani Street Pahala, Hawaii 96777",19.202537841329843,-155.47764074517747
10,KAUAI VETERANS MEMORIAL HOSPITAL,Licensed Beds,25,Kauai,Ph: (808) 338-9431,"4643 Waimea Canyon Road Waimea, Hawaii  96796",21.954859999589473,-159.66636000001384
11,KOHALA HOSPITAL,Licensed Beds,6,Hawaii,Ph: (808) 889-6211,"54-383 Hospital Road Kapaau, Hawaii 96755","
20.23180791730317",-155.79724279746537
12,KONA COMMUNITY HOSPITAL,Licensed Beds,94,Hawaii,Ph: (808) 322-9311,"79-1019 Haukapila Street Kealakekua, Hawaii 96750",19.519681497924154,-155.91676830300116
13,KUAKINI MEDICAL CENTER,Licensed Beds,212,Oahu,Ph: (808) 536-2236,"347 North Kuakini Street Honolulu, Hawaii  96817",21.322199394898632,-157.85618113810057
14,KULA HOSPITAL,Licensed Beds,9,Maui,Ph: (808) 878-1221,"100 Keokea Place Kula, Hawaii  96790-7450","
20.70144933929961",-156.3559678604675
